model,make,Variant,price,fuel_type,type,Link,image_link
redi-go,datsun,D,279650,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
redi-go,datsun,T,351832,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
redi-go,datsun,A,333419,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
redi-go,datsun,S,362000,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
redi-go,datsun,1.0 S,390000,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
redi-go,datsun,1.0 S Amt,437065,petrol,automatic,https://www.datsun.co.in/vehicles/new-vehicles/redi-go.html,https://imgctcf.aeplcdn.com/thumbs/p-nc-b-ver202005281628/images/car-data/big/datsun-redi-go-default.jpg
go,datsun,D,374990,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,T,468229,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,T (O),502492,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,A (O),499990,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,A,469990,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,T Vdc,528464,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,T (O) Vdc,553015,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,T Cvt,594464,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go,datsun,T (O) Cvt,618015,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO.html,https://imgd.aeplcdn.com/664x374/cw/ec/36449/Datsun-Go-Exterior-138944.jpg?wm=0&q=85/
go+,datsun,Datsun D,412292,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO-Plus.html,https://stimg.cardekho.com/images/carexteriorimages/medium/Datsun/Datsun-GO-Plus/6654/side-view-(right)-38.jpg?tr=h-60
go+,datsun,Datsun T,552656,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO-Plus.html,https://stimg.cardekho.com/images/carexteriorimages/930x620/Datsun/GO-Plus/7854/1594791671900/exterior-image-168.jpg?tr=w-880h-495
go+,datsun,Datsun T (O),574448,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO-Plus.html,https://stimg.cardekho.com/images/carexteriorimages/medium/Datsun/GO-Plus/7854/1594791671900/exterior-image-166.jpg?tr=h-60
go+,datsun,Datsun A (O),555196,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO-Plus.html,https://stimg.cardekho.com/images/carexteriorimages/medium/Datsun/Datsun-GO-Plus/6654/side-view-(left)-90.jpg?tr=h-60
go+,datsun,Datsun A,500575,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO-Plus.html,https://stimg.cardekho.com/images/carexteriorimages/medium/Datsun/Datsun-GO-Plus/6654/side-view-(left)-90.jpg?tr=h-60
go+,datsun,Datsun T Vdc,593361,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO-Plus.html,https://stimg.cardekho.com/images/carexteriorimages/medium/Datsun/Datsun-GO-Plus/6654/side-view-(left)-90.jpg?tr=h-60
go+,datsun,Datsun T (O) Vdc,615153,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO-Plus.html,https://stimg.cardekho.com/images/carexteriorimages/medium/Datsun/Datsun-GO-Plus/6654/side-view-(left)-90.jpg?tr=h-60
go+,datsun,Datsun T Cvt,658361,petrol,manual,https://www.datsun.co.in/vehicles/new-vehicles/GO-Plus.html,https://stimg.cardekho.com/images/carexteriorimages/medium/Datsun/Datsun-GO-Plus/6654/side-view-(left)-90.jpg?tr=h-60
